article_id,Year,Type,Keywords**,Title,Authors,First Author,Retrieved,Analysis Theme,LLMs Used,Sample Size of Personas/Profiles,Human Participants?, Statistical Methods Used,Effect of Personas on LLM Output,Summary of Results,Prompt Architecture/Methodology,Research Questions,Review Research Question      
A01,2026,Evaluation of persona simulation and implementation,"Personalized Debunking ,Fake News ,Large Language Models ,Prompt Engineering ,Role-Playing, Big Five Personality Inventory",Enhancing Debunking Effectiveness Through LLM-Based Personality Adaptation,"Pietro Dell’Oglio , Alessandro Bondielli , Francesco Marcelloni, and Lucia C. Passaro",Dell'Oglio,Y,mixed,"Qwen3-32B(generation only), Qwen3-8B, LLaMA3-8B-Instruct",32,N,"Paired-sample t-tests: To compare persuasion scores across Matched, Mismatched, and Generic conditions.
Accuracy Metrics:

Accuracy: Proportion of Matched verdicts ranked highest.
Accuracycn: Proportion of verdicts (Matched or close neighbors) ranked highest.

Likert Scale Analysis: Persuasion scores (1–7) for each judge.",Positive,"’An LLM can indeed be prompted to effectively personalize debunking messages for distinct psychological profiles.. ’A significant model-dependent effect also emerged: different LLMs simulate personality in various ways. Llama3 acted as a “generous” judge, assigning high scores broadly, while the Qwen models behaved as more “cautious” evaluators. Furthermore, our results suggest a potential link between model scale and discriminative ability, with Qwen3-32B showing a greater ability to isolate the message tailored strictly for its profile’","```plaintext
System Prompt: You are a communication strategist... [see Section 3.2] 
User Prompt: Rewrite the short 'Verdict' below to make it more persuasive for someone described with the traits in which you are specialized.
``` ```plaintext
System Prompt: You are a character who is {traits}. 
User Prompt: Considering your personality, evaluate the persuasiveness of the verdict below... [see Section 3.3]
```","RQ1: Can an LLM personalize debunking messages to enhance persuasiveness for users with specific personality traits?
RQ2: Which specific personality traits are most strongly associated with variations in perceived persuasiveness scores?",1 and 2
A02,2025,Evaluation of persona simulation and implementation,"large language models, prompt engineering, monetary policy, central bank communication, financial forecasting",Prompting for Policy: Forecasting Macroeconomic Scenarios with Synthetic LLM Personas,"Giulia Iadisernia, Carolina Camassa",Iadisernia,Y,quantitative,"GPT-4o, o3-mini, GPT-4o-mini",2368,Y,"Paired t-tests on median absolute errors (MAE).
Kolmogorov-Smirnov tests for error distribution comparison.
Win-share analysis with one-tailed/two-tailed p-values.
In-sample/out-of-sample evaluation.",Negative,"‘Our controlled ablation experiment reveals that adding these descriptions to the prompt provides no measurable forecasting advantage, with statistical tests showing no significant difference between persona-enhanced and baseline approaches.’",  ,"Do sophisticated persona descriptions improve LLM performance in a macroeconomic forecasting task?”
Secondary question: “How do personas affect LLMs as judges (forecasters)?”",persona effects on LLM/agent output
A03,2025,Evaluation of persona simulation and implementation,"Large Language Models(LLMs), Personas, Synthetic data generation, Big Five Personality Inventory ",Evaluating LLMs for Synthetic Personas Generation: A Comparative Analysis of Personality Representation and Censorship Effects,"Luigi Casoria, Pietro Neroni, Luca Sabatucci, Agnese Augello, Giuseppe Caggianese",Casoria,Y,mixed,"Mixtral-8x7B-Instruct-v0.1, DarkIdol-Llama-3.1-8B-Instruct-1.2-Uncensored, DeepSeek-R1-Distill-Qwen-32B (evaluator only)",1280,Y - Human-originated survey data for comparison,"Cosine similarity: To measure semantic overlap between biographies.
BLEU score: For lexical redundancy(n-gram matching).
Pearson/Spearman correlations: To analyze relationships between semantic and lexical metrics.
K-means clustering: To segment real BFI data for semi-synthetic personas.
Accuracy rates: For evaluating personality trait prediction by Qwen.",Mixed,"Mixtral vs DarkLlama in creating 1280 persona biographies: did not highlight a significant difference between semi-synthetic and synthetic personas created by Mixtral and DarkLlama. Qwen was used to judge the personas from both models. 
The uncensored DarkLlama model generates more negative traits (e.g., low agreeableness, high neuroticism), suggesting personas influence LLM output in terms of censorship and trait expression.
Qwen’s evaluation reveals that Openness is most accurately predicted, while Emotional Stability is hardest to detect. The uncensored model performs better in capturing nuanced traits.","BFI Score Generation:

""You are a character who is [TRAIT 1, ..., TRAIT 5]."" (e.g., ""Extroverted / Agreeable / Conscientious / Emotionally Stable / Open"") 

Biography Generation:

""You are a character who obtained the following BFI scores: Agreeableness = x, Conscientiousness = x, Emotionally Stable = x, Extraversion = x, Openness = x. Please share a personal biography in 800 words. Do not explicitly mention your personality traits in the biography.""","RQ1: Are there differences between semi-synthetic and synthetic personas’ biographies?
RQ2: Do LLMs mitigate negative traits in generating personas’ biographies?",persona effects on LLM/agent output
A04,2025,Evaluation of persona simulation and implementation,"Evaluation, sexism detection, perspectivism, large language models, bias, unbiased methods",The Effects of Demographic Instructions on LLM Personas,"Angel Felipe Magnossão de Paula, J. Shane Culpepper, Alistair Moffat, Sachin Pathiyan Cherumanal, Falk Scholer, and Johanne Trippas",de Paula,Y,mixed,"Qwen, GPT-4, GPT-3.5, GPT-4o  Mistral",,Y - Human annotation data for comparison,"Krippendorff’s α for inter-rater agreement.
T-tests (gender comparisons).
One-way ANOVA (age group comparisons).
Bootstrap resampling for confidence intervals.",Negative,"‘We found that LLMs consistently align more closely with female annotators than male annotators, indicating a gender-based bias. However, age-based breakdowns exhibited no clear pattern of bias, with different models aligning with different age groups. Adopting a structure that might be thought of as addressing these biases, we also explored the effectiveness of persona prompting, incorporating gender and age information into the LLM prompts. Our results indicate that this approach yields inconsistent and unpredictable outcomes. We thus cannot (yet) regard demographic-based prompting to be an effective way of mitigating LLM bias, an outcome that we expect will be of interest (and concern) to other researchers.’","Baseline prompt (no demographic cues).
Optimized prompts incorporating gender/age demographics (e.g., ""be a male over 45"").
Three prompt candidates were tested, with the most consistent one achieving 75% agreement across LLMs.","Q: How do demographic
instructions affect LLM performance on tasks such as sexism identification?",1 and 2
A05,2025,Evaluation of persona simulation and implementation,"Human values , Personalization , Conversational robot , Human-robot interaction (HRI)",Effectiveness of Conversational Robots Capable of Estimating and Modeling User Values,"Sakamoto Yuki, Uchida Takahisa, Ishiguro Hiroshi",Sakamoto,Y,qualitative,GPT-4,,Y - Humans conducted dialogues with Geminoid F android robot,"One-way ANOVA, RMSE, affirmation rates",Positive,"Enhanced eperceived animacy, 64.38% preference estimation accuracy.","""You are an expert in estimating values. Based on the following statement, what kind of values does this person hold? Please estimate their values based on a list of values...""
Prompts for generating context-aligned questions (e.g., ""Please generate a question for someone who says they like {user’s stated preference} because of {reason user likes the preference}, to seek their opinion about {user’s stated preference} further."")","How can conversational robots estimate and model user values to improve dialogue quality and promote self-reflection?
What methods can be used to integrate value estimation into dialogues while minimizing irrelevant utterances?",persona effects on LLM/agent output
A06,2024,Evaluation of persona simulation and implementation,"Large Language Models, LLM Simulations, Persona Prompting",Quantifying the Persona Effect in LLM Simulations,"Tiancheng Hu, Nigel Collier",Hu,Y,quantitative,GPT-4-0613 GPT-3.5-Turbo-0613 Llama-2-70b Llama-2-70b-chat Tulu-2-70b Tulu-2-dpo-70b,42,N,"R² analysis (R² derived from mixed effect regression) , bootstrap analysis for significance testing, comparison between R² target values and fixed-effects",Mixed,"Persona variables explain <10% of annotation variance in most NLP datasets, with marginal R^2 values. Prompting LLMs with personas provides modest gains in prediction accuracy (+0.06 R^2) improvements on some tasks. Persona prompting is most effective when annotators disagree moderately as models can adjust predictions to align with personas. Linear relationship between persona variables and annotations. For tasks where eprsonas have low explanatory power (R^2 <0.1) persona prompting offers minimal benefits. R² values relate to the variance explained by persona variables.",Methodology for prompting includes swapping the order of persona variables in the prompt and paragraphiing the language used to describe each persona variable.,"Q1: How much variance in human
annotations can persona variables explain? RQ2: Can incorporating persona
variables improve LLM predictions? RQ3: For what sample types is persona
prompting most useful? RQ4: How effectively can LLMs simulate personas when
persona variable importance varies?",persona effects on LLM/agent output
A07,2025,Novel method or framework for persona implementation,"Persona-based Dialogue Generation, Knowledge Graph, MoE, Large Language Model, Distillation, Curriculum Learning",Efficient and Effective Role Player: A Compact Knowledge-grounded Persona-based Dialogue Model Enhanced by LLM Distillation,"Linmei Hu, Xinyu Zhang, Dandan Song, Changzhi Zhou, Hongyu He, and Liqiang Nie",Hu,Y,quantitative,LLaMA3-8b,4710,Y - 5 annotators,"BLEU-1, Entropy-2, Distinct-4, Self-BLEU-2, PPL",Positive,"The paper proposes a model (KPDD) that integrates persona information via knowledge graphs (KGs) and LLM distillation, demonstrating improved persona-consistent responses. KPDD outperforms baselines in automatic metrics  - persona consistency reported at 14.4% using KPDD, and response quality reported as increased by 7.4% from baseline.
Experimental results demonstrate that KPDD outperforms SOTA persona-based dialogue generation methods in both automatic and human evaluations.","Knowledge graph combined with mixture of experts (mixed encoding network),LLM teacher and student models. SOTA persona based dialogue models: multi-GPT2, D^2, SimOAP, LMEDR",Not specified,1 and 2
A08,2025,Novel method or framework for persona implementation,"PPA (Post persona alignment), dialogue generation",Post Persona Alignment for Multi-Session Dialogue Generation,"Yi-Pei Chen, Noriki Nishida, Hideki Nakayama, Yuji Matsumoto.",Chen,Y,quantitative,GPT-3.5,,N,"C-Score, Persona-F1, Diversity (Entropy), ROUGE",Positive,"‘Experiments demonstrate that PPA significantly improves consistency, diversity, and persona relevance over prior methods, offering a flexible and effective solution for long-term conversational modeling.’",N/A,Not specified,persona effects on LLM/agent output
A09,2025,Evaluation of persona simulation and implementation,"Myer’s Briggs Personality Indicator (MBTI), Big Five Personality Inventory, personality tests, temperature","Open Models, Closed Minds? On Agents Capabilities in Mimicking Human Personalities through Open Large Language Models",Lucio La Cava and Andrea Tagarelli,La Cava,Y,quantitative,"SOLAR, Vicuna, Phi3, NeuralChat, LLaMa2, Gemma, Dolphin-7B, Mixtral,
Mistral, Falcon, Llama3-8B, Llama2-13B",,N,"accuracy metrics, percentage changes under different temperatures, cosine similarity between model responses and reference descriptions (MBTI)",Mixed,"‘Models such as SOLAR, Dolphin, NeuralChat, and Llama3-8 have demonstrated remarkable mimicking capabilities, while the majority rather show closed-mindedness.’","Prompt included. Each of 16 MBTI types used as a persona. three types of prompts: unconditioned, personality-conditioned, and role/personality-conditioned.","RQ0: Are LLM agents aware of MBTI/BFI
psychological tests? RQ1: Do LLM agents consistently exhibit personality
traits per MBTI/BFI? RQ2: Can LLM agents mimic specific traits through
system
prompting? RQ3: Do LLM agents improve mimicking when instructed to act as
human roles?",persona effects on LLM/agent output
A10,2025,Novel method or framework for persona implementation,"recommender system, large language mode, user simulation, LLM-based agents",User Behavior Simulation with Large Language Model-based Agents,"Lei Wang, Jingsen Zhang, Hao Yang, Zhi-Yuan Chen, Jiakai Tang, Zeyu Zhang, Xu Chen, Yankai Lin, Hao Sun, Ruihua Song, Xin Zhao, Jun Xu, Zhicheng Dou, Jun Wang, and Ji-Rong Wen",Wang,Y,mixed,Other,50,N,"Overlap Ratio: Compares agent-selected items to ground truth (e.g., p = |S_u ∩ T_u| / |T_u|).
Human Annotations: Qualitative evaluation of simulated vs. real human behavior.
Comparison of Strategies: Tests the effectiveness of ""Rec-Strategy"" and ""Soc-Strategy"" on entropy reduction.",Positive,"Agents with personas outperform baselines (e.g., Embedding, RecSim) in simulating user behavior. The memory module improves consistency and realism in agent decisions. Personas influence conformity behaviors and information cocoon phenomena. LLM-based agents can simulate realistic interactions (e.g., chatting, broadcasting). The paper links persona characteristics to user conformity and information cocoon phenomena. Agents with distinct personas (e.g., ""Optimistic"" vs. ""Cautious"") exhibit different behavioral patterns.
Memory modules store persona-specific traits (e.g., ""ambitious"" users are more likely to critique recommendations).","unified prompting framework with four components:
Profile Information: Agent attributes (age, interests).
Memory Information: Contextualized memories from short-term/long-term modules.
Instruction: Explicit guidelines for agent actions (e.g., ""How would you feel about this movie?"").
Context: Current environment and timing (e.g., ""After watching a movie, the agent chats with friends"").","questions:  — RQ1: How believable are the simulated user behaviors in comparison to real human behaviors, particularly within a recommender system and during chatting/broadcasting interactions? — RQ2: How effective is the agent memory mechanism in producing rational and human-like behaviors? — RQ3: How efficient is the simulator in terms of time cost, especially as the number of agents, API keys, and simulation epochs increase? — RQ4: Can external interventions effectively influence agent behaviors as intended?",1 and 2
